Vardas                           Pavarde                         1nd  2nd  3nd  4nd  5nd egz.
Vardas56                         Pavarde56                        6    2    9    2    1    3    
Vardas57                         Pavarde57                        3    7    5    5    10   7    
Vardas58                         Pavarde58                        10   10   10   10   7    4    
Vardas59                         Pavarde59                        1    2    3    4    5    3    
Vardas60                         Pavarde60                        9    7    3    5    10   7    
Vardas61                         Pavarde61                        2    5    6    2    3    6    
Vardas62                         Pavarde62                        6    2    1    2    10   8    
Vardas63                         Pavarde63                        10   5    8    9    6    10   
Vardas64                         Pavarde64                        6    7    7    8    6    4    
Vardas65                         Pavarde65                        7    2    6    7    3    8    
Vardas66                         Pavarde66                        8    2    3    5    1    2    
Vardas67                         Pavarde67                        3    6    1    8    1    2    
Vardas68                         Pavarde68                        8    1    2    8    9    6    
Vardas69                         Pavarde69                        9    4    4    10   7    2    
Vardas70                         Pavarde70                        7    7    2    4    8    2    
Vardas71                         Pavarde71                        9    1    1    6    10   10   
Vardas72                         Pavarde72                        4    8    9    8    3    8    
Vardas73                         Pavarde73                        1    10   9    4    3    5    
Vardas74                         Pavarde74                        9    7    7    8    7    1    
Vardas75                         Pavarde75                        1    2    6    5    3    2    
Vardas76                         Pavarde76                        6    10   3    7    8    1    
Vardas77                         Pavarde77                        4    5    9    10   6    4    
Vardas78                         Pavarde78                        1    10   1    4    5    5    
Vardas79                         Pavarde79                        9    3    8    1    3    9    
Vardas80                         Pavarde80                        7    2    7    10   10   5    
Vardas81                         Pavarde81                        2    5    4    3    7    5    
Vardas82                         Pavarde82                        2    2    10   10   5    9    
Vardas83                         Pavarde83                        2    3    3    10   9    4    
Vardas84                         Pavarde84                        6    5    5    9    6    7    
Vardas85                         Pavarde85                        7    1    10   10   6    5    
Vardas86                         Pavarde86                        8    4    1    1    10   4    
Vardas87                         Pavarde87                        4    2    7    5    10   7    
Vardas88                         Pavarde88                        2    1    2    4    7    4    
Vardas89                         Pavarde89                        5    4    7    7    10   3    
Vardas90                         Pavarde90                        4    5    5    9    7    2    
Vardas91                         Pavarde91                        1    2    5    10   7    10   
Vardas92                         Pavarde92                        2    6    4    7    2    9    
Vardas93                         Pavarde93                        7    10   2    10   7    4    
Vardas94                         Pavarde94                        1    10   9    5    10   10   
Vardas95                         Pavarde95                        3    7    2    2    5    9    
Vardas96                         Pavarde96                        2    6    6    10   7    10   
Vardas97                         Pavarde97                        1    7    3    5    2    9    
Vardas98                         Pavarde98                        3    8    5    9    4    5    
Vardas99                         Pavarde99                        5    5    3    3    4    5    
Vardas100                        Pavarde100                       9    2    6    5    8    9    
Vardas101                        Pavarde101                       10   3    8    7    9    9    
Vardas102                        Pavarde102                       4    5    6    10   4    3    
Vardas103                        Pavarde103                       6    10   5    3    9    9    
Vardas104                        Pavarde104                       3    9    2    10   2    2    
Vardas105                        Pavarde105                       8    5    1    3    7    6    
Vardas106                        Pavarde106                       5    1    8    4    4    10   
Vardas107                        Pavarde107                       4    10   6    4    2    9    
Vardas108                        Pavarde108                       5    8    4    3    10   8    
Vardas109                        Pavarde109                       8    9    2    4    8    6    
Vardas110                        Pavarde110                       2    8    5    10   6    2    
Vardas111                        Pavarde111                       8    1    8    10   5    2    
Vardas112                        Pavarde112                       3    10   6    8    10   10   
Vardas113                        Pavarde113                       7    8    5    10   3    2    
Vardas114                        Pavarde114                       8    8    5    6    10   5    
Vardas115                        Pavarde115                       5    5    8    1    4    2    
Vardas116                        Pavarde116                       10   1    3    10   1    5    
Vardas117                        Pavarde117                       4    10   9    7    1    2    
Vardas118                        Pavarde118                       4    4    1    1    9    5    
Vardas119                        Pavarde119                       5    7    6    1    7    3    
Vardas120                        Pavarde120                       5    1    3    2    9    1    
Vardas121                        Pavarde121                       3    7    8    6    8    5    
Vardas122                        Pavarde122                       8    6    10   2    9    7    
Vardas123                        Pavarde123                       5    10   10   1    4    2    
Vardas124                        Pavarde124                       1    6    10   5    10   5    
Vardas125                        Pavarde125                       7    3    7    8    8    5    
Vardas126                        Pavarde126                       9    7    10   5    9    10   
Vardas127                        Pavarde127                       2    7    3    10   3    2    
Vardas128                        Pavarde128                       1    9    9    9    9    3    
Vardas129                        Pavarde129                       3    8    6    3    1    1    
Vardas130                        Pavarde130                       1    8    8    2    6    3    
Vardas131                        Pavarde131                       3    9    10   10   7    9    
Vardas132                        Pavarde132                       5    5    4    6    8    4    
Vardas133                        Pavarde133                       5    10   4    9    8    5    
Vardas134                        Pavarde134                       6    10   10   9    8    6    
Vardas135                        Pavarde135                       9    1    9    1    6    1    
Vardas136                        Pavarde136                       4    9    6    10   6    5    
Vardas137                        Pavarde137                       1    3    6    4    3    4    
Vardas138                        Pavarde138                       6    3    1    1    7    2    
Vardas139                        Pavarde139                       3    10   3    1    8    10   
Vardas140                        Pavarde140                       2    5    3    9    10   5    
Vardas141                        Pavarde141                       9    3    10   2    10   2    
Vardas142                        Pavarde142                       4    10   2    7    8    10   
Vardas143                        Pavarde143                       8    7    2    7    7    3    
Vardas144                        Pavarde144                       3    9    1    8    7    8    
Vardas145                        Pavarde145                       8    8    10   9    2    6    
Vardas146                        Pavarde146                       1    1    5    6    2    7    
Vardas147                        Pavarde147                       3    10   1    10   7    1    
Vardas148                        Pavarde148                       2    8    2    6    4    4    
Vardas149                        Pavarde149                       10   6    10   10   8    10   
Vardas150                        Pavarde150                       8    9    7    2    8    1    
Vardas151                        Pavarde151                       10   4    9    4    5    9    
Vardas152                        Pavarde152                       8    6    7    1    4    7    
Vardas153                        Pavarde153                       8    3    8    2    3    7    
Vardas154                        Pavarde154                       3    7    10   10   10   3    
Vardas155                        Pavarde155                       2    3    4    2    5    8    
Vardas156                        Pavarde156                       3    4    4    10   1    5    
Vardas157                        Pavarde157                       8    2    10   1    3    3    
Vardas158                        Pavarde158                       7    5    9    1    5    5    
Vardas159                        Pavarde159                       9    1    2    8    9    1    
Vardas160                        Pavarde160                       9    2    3    1    1    2    
Vardas161                        Pavarde161                       6    9    6    8    4    4    
Vardas162                        Pavarde162                       7    5    3    6    3    3    
Vardas163                        Pavarde163                       4    7    7    7    4    9    
Vardas164                        Pavarde164                       9    5    7    1    10   3    
Vardas165                        Pavarde165                       4    6    2    10   3    4    
Vardas166                        Pavarde166                       7    6    9    6    3    6    
Vardas167                        Pavarde167                       7    3    2    2    10   10   
Vardas168                        Pavarde168                       10   3    4    9    9    1    
Vardas169                        Pavarde169                       8    1    9    10   4    9    
Vardas170                        Pavarde170                       6    5    1    1    7    8    
Vardas171                        Pavarde171                       2    5    1    8    1    2    
Vardas172                        Pavarde172                       6    8    5    2    5    8    
Vardas173                        Pavarde173                       3    3    6    5    5    5    
Vardas174                        Pavarde174                       7    8    2    2    9    1    
Vardas175                        Pavarde175                       8    5    4    2    8    5    
Vardas176                        Pavarde176                       9    3    4    9    6    2    
Vardas177                        Pavarde177                       8    9    3    4    10   3    
Vardas178                        Pavarde178                       10   5    1    7    6    6    
Vardas179                        Pavarde179                       8    2    9    10   5    10   
Vardas180                        Pavarde180                       3    9    8    5    8    7    
Vardas181                        Pavarde181                       4    3    10   9    3    10   
Vardas182                        Pavarde182                       6    7    3    3    1    9    
Vardas183                        Pavarde183                       8    6    4    4    9    2    
Vardas184                        Pavarde184                       9    7    2    1    9    1    
Vardas185                        Pavarde185                       6    7    5    9    5    4    
Vardas186                        Pavarde186                       9    1    3    4    1    8    
Vardas187                        Pavarde187                       7    8    4    1    10   6    
Vardas188                        Pavarde188                       6    7    10   9    2    3    
Vardas189                        Pavarde189                       9    7    3    1    5    4    
Vardas190                        Pavarde190                       1    1    6    8    4    5    
Vardas191                        Pavarde191                       8    8    1    8    3    1    
Vardas192                        Pavarde192                       6    7    5    5    5    10   
Vardas193                        Pavarde193                       7    4    5    5    1    7    
Vardas194                        Pavarde194                       8    4    9    4    1    9    
Vardas195                        Pavarde195                       3    6    4    8    2    5    
Vardas196                        Pavarde196                       8    3    9    4    1    8    
Vardas197                        Pavarde197                       9    6    4    9    3    1    
Vardas198                        Pavarde198                       3    3    1    10   7    1    
Vardas199                        Pavarde199                       5    7    5    2    2    4    
Vardas200                        Pavarde200                       7    8    5    2    5    1    
Vardas201                        Pavarde201                       9    5    8    4    9    9    
Vardas202                        Pavarde202                       5    4    2    9    8    6    
Vardas203                        Pavarde203                       8    5    8    8    1    4    
Vardas204                        Pavarde204                       7    7    6    2    10   9    
Vardas205                        Pavarde205                       3    1    5    3    1    3    
Vardas206                        Pavarde206                       7    10   1    1    8    2    
Vardas207                        Pavarde207                       4    4    5    4    9    9    
Vardas208                        Pavarde208                       6    5    2    1    3    5    
Vardas209                        Pavarde209                       1    9    6    8    7    5    
Vardas210                        Pavarde210                       10   10   6    9    8    4    
Vardas211                        Pavarde211                       5    6    7    4    4    5    
Vardas212                        Pavarde212                       10   9    1    3    7    3    
Vardas213                        Pavarde213                       8    10   1    5    4    4    
Vardas214                        Pavarde214                       10   4    10   10   2    5    
Vardas215                        Pavarde215                       2    5    5    3    10   4    
Vardas216                        Pavarde216                       1    1    9    3    2    3    
Vardas217                        Pavarde217                       7    8    9    2    1    10   
Vardas218                        Pavarde218                       4    6    2    1    7    10   
Vardas219                        Pavarde219                       5    4    9    9    6    9    
Vardas220                        Pavarde220                       2    10   7    7    4    9    
Vardas221                        Pavarde221                       8    7    7    2    8    1    
Vardas222                        Pavarde222                       9    7    2    9    1    5    
Vardas223                        Pavarde223                       6    4    3    9    6    9    
Vardas224                        Pavarde224                       10   6    1    10   10   3    
Vardas225                        Pavarde225                       8    1    3    2    9    3    
Vardas226                        Pavarde226                       6    3    9    10   4    7    
Vardas227                        Pavarde227                       7    2    4    7    5    7    
Vardas228                        Pavarde228                       3    1    9    9    5    3    
Vardas229                        Pavarde229                       7    3    10   9    7    8    
Vardas230                        Pavarde230                       5    3    4    7    9    1    
Vardas231                        Pavarde231                       2    9    8    1    9    4    
Vardas232                        Pavarde232                       9    6    4    6    7    4    
Vardas233                        Pavarde233                       7    8    6    6    9    1    
Vardas234                        Pavarde234                       9    9    7    3    2    2    
Vardas235                        Pavarde235                       10   2    2    9    6    1    
Vardas236                        Pavarde236                       7    9    7    5    1    8    
Vardas237                        Pavarde237                       8    8    1    7    1    10   
Vardas238                        Pavarde238                       5    9    5    3    2    9    
Vardas239                        Pavarde239                       7    1    5    2    7    6    
Vardas240                        Pavarde240                       2    4    10   9    3    7    
Vardas241                        Pavarde241                       2    7    5    9    3    1    
Vardas242                        Pavarde242                       10   3    3    9    3    5    
Vardas243                        Pavarde243                       9    1    5    6    3    8    
Vardas244                        Pavarde244                       7    1    10   6    7    4    
Vardas245                        Pavarde245                       3    10   8    6    6    10   
Vardas246                        Pavarde246                       9    9    7    6    10   7    
Vardas247                        Pavarde247                       10   8    2    9    8    1    
Vardas248                        Pavarde248                       3    6    1    1    10   8    
Vardas249                        Pavarde249                       8    3    9    6    2    1    
Vardas250                        Pavarde250                       3    6    8    3    5    2    
Vardas251                        Pavarde251                       2    4    4    9    4    3    
Vardas252                        Pavarde252                       4    3    5    1    6    10   
Vardas253                        Pavarde253                       5    3    6    4    1    3    
Vardas254                        Pavarde254                       9    8    1    5    5    2    
Vardas255                        Pavarde255                       1    10   10   9    8    7    
Vardas256                        Pavarde256                       10   9    7    3    9    8    
Vardas257                        Pavarde257                       1    2    2    7    1    4    
Vardas258                        Pavarde258                       2    1    9    1    10   10   
Vardas259                        Pavarde259                       1    10   5    7    1    1    
Vardas260                        Pavarde260                       2    9    7    5    4    6    
Vardas261                        Pavarde261                       1    1    4    2    5    4    
Vardas262                        Pavarde262                       1    7    2    1    6    9    
Vardas263                        Pavarde263                       1    4    6    10   3    9    
Vardas264                        Pavarde264                       6    5    4    6    8    3    
Vardas265                        Pavarde265                       5    2    9    7    4    1    
Vardas266                        Pavarde266                       3    9    5    7    8    4    
Vardas267                        Pavarde267                       8    10   4    2    3    9    
Vardas268                        Pavarde268                       4    1    1    1    2    3    
Vardas269                        Pavarde269                       1    10   10   5    10   2    
Vardas270                        Pavarde270                       2    3    8    7    9    1    
Vardas271                        Pavarde271                       1    2    1    7    2    2    
Vardas272                        Pavarde272                       1    1    10   8    2    1    
Vardas273                        Pavarde273                       1    8    6    6    6    3    
Vardas274                        Pavarde274                       4    9    2    9    6    8    
Vardas275                        Pavarde275                       8    1    8    1    2    8    
Vardas276                        Pavarde276                       8    7    1    1    10   3    
Vardas277                        Pavarde277                       2    3    8    9    1    5    
Vardas278                        Pavarde278                       8    7    1    2    1    3    
Vardas279                        Pavarde279                       3    10   6    7    9    1    
Vardas280                        Pavarde280                       6    1    9    10   7    3    
Vardas281                        Pavarde281                       9    4    8    10   10   9    
Vardas282                        Pavarde282                       8    4    5    1    4    10   
Vardas283                        Pavarde283                       7    5    2    10   5    8    
Vardas284                        Pavarde284                       2    7    7    2    8    5    
Vardas285                        Pavarde285                       8    2    1    10   10   3    
Vardas286                        Pavarde286                       6    1    9    1    9    10   
Vardas287                        Pavarde287                       8    10   1    1    3    4    
Vardas288                        Pavarde288                       10   8    8    6    3    9    
Vardas289                        Pavarde289                       9    7    9    7    8    10   
Vardas290                        Pavarde290                       5    9    9    6    7    2    
Vardas291                        Pavarde291                       2    7    8    6    8    3    
Vardas292                        Pavarde292                       2    8    4    9    6    4    
Vardas293                        Pavarde293                       8    5    6    7    2    1    
Vardas294                        Pavarde294                       2    1    10   1    6    6    
Vardas295                        Pavarde295                       9    3    10   9    6    4    
Vardas296                        Pavarde296                       1    8    8    5    4    8    
Vardas297                        Pavarde297                       10   1    3    8    6    9    
Vardas298                        Pavarde298                       3    10   6    6    4    9    
Vardas299                        Pavarde299                       9    5    9    9    5    4    
Vardas300                        Pavarde300                       1    5    4    7    4    7    
Vardas301                        Pavarde301                       8    6    1    6    6    1    
Vardas302                        Pavarde302                       1    5    7    1    7    5    
Vardas303                        Pavarde303                       7    8    7    1    8    7    
Vardas304                        Pavarde304                       4    6    1    4    3    9    
Vardas305                        Pavarde305                       4    7    7    6    5    1    
Vardas306                        Pavarde306                       6    10   8    2    4    7    
Vardas307                        Pavarde307                       1    7    7    3    2    2    
Vardas308                        Pavarde308                       2    1    3    5    10   6    
Vardas309                        Pavarde309                       1    9    1    10   5    6    
Vardas310                        Pavarde310                       1    3    10   1    9    6    
Vardas311                        Pavarde311                       10   8    1    5    10   1    
Vardas312                        Pavarde312                       7    3    4    10   9    4    
Vardas313                        Pavarde313                       3    6    2    7    6    6    
Vardas314                        Pavarde314                       10   1    2    9    9    10   
Vardas315                        Pavarde315                       9    5    8    3    1    8    
Vardas316                        Pavarde316                       3    4    2    4    3    9    
Vardas317                        Pavarde317                       7    1    2    10   7    2    
Vardas318                        Pavarde318                       6    4    7    5    3    8    
Vardas319                        Pavarde319                       4    9    2    6    10   7    
Vardas320                        Pavarde320                       8    6    7    10   7    5    
Vardas321                        Pavarde321                       7    5    10   2    1    3    
Vardas322                        Pavarde322                       6    6    6    10   1    1    
Vardas323                        Pavarde323                       9    9    8    8    6    3    
Vardas324                        Pavarde324                       3    4    2    3    3    9    
Vardas325                        Pavarde325                       9    5    7    3    6    10   
Vardas326                        Pavarde326                       9    2    1    2    5    2    
Vardas327                        Pavarde327                       6    7    5    10   10   3    
Vardas328                        Pavarde328                       10   9    8    7    2    7    
Vardas329                        Pavarde329                       4    6    6    8    7    8    
Vardas330                        Pavarde330                       2    3    4    7    4    2    
Vardas331                        Pavarde331                       8    8    3    1    6    8    
Vardas332                        Pavarde332                       7    1    7    8    3    10   
Vardas333                        Pavarde333                       3    7    4    9    3    7    
Vardas334                        Pavarde334                       9    10   3    10   7    1    
Vardas335                        Pavarde335                       2    2    2    5    7    3    
Vardas336                        Pavarde336                       7    9    6    4    5    10   
Vardas337                        Pavarde337                       3    8    2    6    10   10   
Vardas338                        Pavarde338                       5    5    10   10   5    9    
Vardas339                        Pavarde339                       6    2    7    7    3    10   
Vardas340                        Pavarde340                       3    3    3    9    10   3    
Vardas341                        Pavarde341                       3    6    8    8    7    9    
Vardas342                        Pavarde342                       4    5    10   10   9    6    
Vardas343                        Pavarde343                       9    5    1    9    2    2    
Vardas344                        Pavarde344                       5    4    8    3    7    7    
Vardas345                        Pavarde345                       2    2    7    5    1    8    
Vardas346                        Pavarde346                       6    4    5    3    8    1    
Vardas347                        Pavarde347                       10   2    4    3    4    2    
Vardas348                        Pavarde348                       1    10   2    2    5    10   
Vardas349                        Pavarde349                       6    7    1    3    1    4    
Vardas350                        Pavarde350                       1    7    8    2    8    7    
Vardas351                        Pavarde351                       8    1    10   4    10   8    
Vardas352                        Pavarde352                       9    2    6    9    4    8    
Vardas353                        Pavarde353                       5    10   6    8    8    1    
Vardas354                        Pavarde354                       10   7    7    3    7    1    
Vardas355                        Pavarde355                       5    3    10   6    2    1    
Vardas356                        Pavarde356                       3    1    5    5    3    7    
Vardas357                        Pavarde357                       7    9    4    1    9    3    
Vardas358                        Pavarde358                       6    3    9    6    6    3    
Vardas359                        Pavarde359                       2    4    10   4    8    5    
Vardas360                        Pavarde360                       9    5    6    5    5    2    
Vardas361                        Pavarde361                       7    4    6    10   8    8    
Vardas362                        Pavarde362                       7    10   7    5    5    2    
Vardas363                        Pavarde363                       5    1    5    10   6    9    
Vardas364                        Pavarde364                       3    7    8    2    9    3    
Vardas365                        Pavarde365                       3    6    7    7    1    4    
Vardas366                        Pavarde366                       3    10   5    3    5    7    
Vardas367                        Pavarde367                       10   4    9    8    9    5    
Vardas368                        Pavarde368                       5    8    8    4    2    10   
Vardas369                        Pavarde369                       2    3    1    3    6    10   
Vardas370                        Pavarde370                       8    9    7    6    7    4    
Vardas371                        Pavarde371                       4    6    1    8    6    9    
Vardas372                        Pavarde372                       4    1    8    4    10   7    
Vardas373                        Pavarde373                       7    2    3    5    10   2    
Vardas374                        Pavarde374                       3    10   9    10   10   1    
Vardas375                        Pavarde375                       6    3    3    4    8    3    
Vardas376                        Pavarde376                       2    10   9    1    9    2    
Vardas377                        Pavarde377                       2    7    5    8    3    5    
Vardas378                        Pavarde378                       10   2    3    3    2    1    
Vardas379                        Pavarde379                       8    1    2    5    7    4    
Vardas380                        Pavarde380                       9    4    10   6    10   6    
Vardas381                        Pavarde381                       5    6    3    8    5    2    
Vardas382                        Pavarde382                       6    9    5    3    5    8    
Vardas383                        Pavarde383                       8    5    5    7    8    6    
Vardas384                        Pavarde384                       3    1    3    10   4    10   
Vardas385                        Pavarde385                       8    5    1    3    10   10   
Vardas386                        Pavarde386                       8    6    2    4    10   7    
Vardas387                        Pavarde387                       5    4    8    7    7    6    
Vardas388                        Pavarde388                       4    5    4    7    5    4    
Vardas389                        Pavarde389                       9    5    8    2    2    4    
Vardas390                        Pavarde390                       4    4    2    10   3    4    
Vardas391                        Pavarde391                       8    5    7    3    8    6    
Vardas392                        Pavarde392                       5    4    4    9    7    7    
Vardas393                        Pavarde393                       6    3    1    6    10   7    
Vardas394                        Pavarde394                       3    3    7    8    5    7    
Vardas395                        Pavarde395                       6    6    9    4    3    9    
Vardas396                        Pavarde396                       8    6    2    9    9    5    
Vardas397                        Pavarde397                       5    6    3    5    7    4    
Vardas398                        Pavarde398                       4    2    10   6    10   9    
Vardas399                        Pavarde399                       3    9    3    10   8    2    
Vardas400                        Pavarde400                       7    6    6    10   9    7    
Vardas401                        Pavarde401                       10   1    10   5    7    4    
Vardas402                        Pavarde402                       9    10   8    9    8    4    
Vardas403                        Pavarde403                       2    8    3    1    5    8    
Vardas404                        Pavarde404                       3    5    1    10   4    6    
Vardas405                        Pavarde405                       6    5    7    7    9    2    
Vardas406                        Pavarde406                       7    6    5    7    8    7    
Vardas407                        Pavarde407                       5    6    4    3    9    6    
Vardas408                        Pavarde408                       5    9    8    3    4    2    
Vardas409                        Pavarde409                       9    10   3    5    9    1    
Vardas410                        Pavarde410                       2    6    8    9    7    6    
Vardas411                        Pavarde411                       3    5    5    9    7    4    
Vardas412                        Pavarde412                       5    3    1    4    9    9    
Vardas413                        Pavarde413                       4    10   4    6    7    10   
Vardas414                        Pavarde414                       8    6    9    9    4    6    
Vardas415                        Pavarde415                       10   7    7    1    8    7    
Vardas416                        Pavarde416                       6    1    5    3    10   6    
Vardas417                        Pavarde417                       3    1    9    2    4    1    
Vardas418                        Pavarde418                       3    5    9    2    4    3    
Vardas419                        Pavarde419                       6    10   3    5    9    7    
Vardas420                        Pavarde420                       10   4    3    1    1    10   
Vardas421                        Pavarde421                       5    9    10   6    7    9    
Vardas422                        Pavarde422                       5    1    2    2    9    7    
Vardas423                        Pavarde423                       2    9    9    4    10   5    
Vardas424                        Pavarde424                       1    1    1    5    8    3    
Vardas425                        Pavarde425                       2    4    5    2    10   7    
Vardas426                        Pavarde426                       8    3    5    10   9    7    
Vardas427                        Pavarde427                       5    8    7    5    5    3    
Vardas428                        Pavarde428                       7    8    8    1    4    2    
Vardas429                        Pavarde429                       5    9    9    6    7    7    
Vardas430                        Pavarde430                       3    5    6    1    6    2    
Vardas431                        Pavarde431                       10   10   7    3    10   7    
Vardas432                        Pavarde432                       7    10   6    5    7    5    
Vardas433                        Pavarde433                       1    1    3    10   3    8    
Vardas434                        Pavarde434                       6    6    4    9    7    9    
Vardas435                        Pavarde435                       2    2    2    4    6    5    
Vardas436                        Pavarde436                       8    3    9    10   9    3    
Vardas437                        Pavarde437                       1    5    9    1    6    5    
Vardas438                        Pavarde438                       8    8    3    6    1    1    
Vardas439                        Pavarde439                       8    8    8    3    4    6    
Vardas440                        Pavarde440                       1    8    9    1    6    8    
Vardas441                        Pavarde441                       8    4    5    3    6    2    
Vardas442                        Pavarde442                       7    2    6    1    8    1    
Vardas443                        Pavarde443                       5    5    7    8    6    3    
Vardas444                        Pavarde444                       7    3    8    3    9    8    
Vardas445                        Pavarde445                       9    5    2    5    3    3    
Vardas446                        Pavarde446                       1    1    10   3    5    4    
Vardas447                        Pavarde447                       5    10   8    1    6    1    
Vardas448                        Pavarde448                       4    2    7    7    1    6    
Vardas449                        Pavarde449                       3    4    1    10   7    10   
Vardas450                        Pavarde450                       10   5    10   7    9    1    
Vardas451                        Pavarde451                       4    8    8    8    1    2    
Vardas452                        Pavarde452                       1    7    9    4    2    3    
Vardas453                        Pavarde453                       3    3    2    6    6    4    
Vardas454                        Pavarde454                       3    8    3    9    6    4    
Vardas455                        Pavarde455                       1    10   1    7    8    4    
Vardas456                        Pavarde456                       7    3    3    3    10   1    
Vardas457                        Pavarde457                       3    10   2    5    1    5    
Vardas458                        Pavarde458                       3    7    3    10   5    10   
Vardas459                        Pavarde459                       2    7    3    4    7    6    
Vardas460                        Pavarde460                       7    1    9    2    6    1    
Vardas461                        Pavarde461                       5    7    3    2    10   3    
Vardas462                        Pavarde462                       10   5    5    9    5    4    
Vardas463                        Pavarde463                       3    1    6    8    10   2    
Vardas464                        Pavarde464                       4    6    9    4    5    1    
Vardas465                        Pavarde465                       4    9    4    6    6    8    
Vardas466                        Pavarde466                       1    5    6    1    2    4    
Vardas467                        Pavarde467                       4    4    8    2    8    1    
Vardas468                        Pavarde468                       4    2    9    10   10   4    
Vardas469                        Pavarde469                       9    3    9    6    2    5    
Vardas470                        Pavarde470                       1    6    8    5    6    5    
Vardas471                        Pavarde471                       9    3    4    10   6    8    
Vardas472                        Pavarde472                       4    7    7    1    3    5    
Vardas473                        Pavarde473                       4    1    3    3    8    9    
Vardas474                        Pavarde474                       10   10   2    1    4    3    
Vardas475                        Pavarde475                       6    4    10   7    6    6    
Vardas476                        Pavarde476                       3    3    1    9    2    6    
Vardas477                        Pavarde477                       8    6    4    9    10   6    
Vardas478                        Pavarde478                       1    2    4    10   3    4    
Vardas479                        Pavarde479                       10   4    6    4    8    10   
Vardas480                        Pavarde480                       7    10   1    6    4    7    
Vardas481                        Pavarde481                       1    8    7    3    9    5    
Vardas482                        Pavarde482                       6    6    7    4    3    4    
Vardas483                        Pavarde483                       8    8    2    3    2    10   
Vardas484                        Pavarde484                       7    1    5    9    3    10   
Vardas485                        Pavarde485                       2    3    9    2    4    1    
Vardas486                        Pavarde486                       4    2    8    4    5    6    
Vardas487                        Pavarde487                       2    2    4    6    9    3    
Vardas488                        Pavarde488                       5    9    3    5    6    10   
Vardas489                        Pavarde489                       9    5    3    5    9    8    
Vardas490                        Pavarde490                       9    7    4    8    5    5    
Vardas491                        Pavarde491                       8    10   10   5    5    1    
Vardas492                        Pavarde492                       9    8    7    10   5    4    
Vardas493                        Pavarde493                       2    5    4    6    1    8    
Vardas494                        Pavarde494                       4    2    10   4    5    4    
Vardas495                        Pavarde495                       1    8    7    1    2    9    
Vardas496                        Pavarde496                       1    2    4    5    4    10   
Vardas497                        Pavarde497                       7    7    9    3    6    2    
