Vardas                           Pavarde                         1nd  2nd  3nd  4nd  5nd egz.
Vardas60                         Pavarde60                        7    6    5    3    5    1    
Vardas61                         Pavarde61                        3    10   8    2    7    2    
Vardas62                         Pavarde62                        9    7    5    3    2    9    
Vardas63                         Pavarde63                        8    10   8    4    8    3    
Vardas64                         Pavarde64                        8    8    9    1    8    2    
Vardas65                         Pavarde65                        8    7    7    6    6    4    
Vardas66                         Pavarde66                        6    3    1    1    1    7    
Vardas67                         Pavarde67                        3    8    6    5    1    7    
Vardas68                         Pavarde68                        1    4    3    4    6    7    
Vardas69                         Pavarde69                        8    7    2    6    1    5    
Vardas70                         Pavarde70                        8    3    5    10   8    2    
Vardas71                         Pavarde71                        6    2    3    6    6    8    
Vardas72                         Pavarde72                        3    8    7    4    8    10   
Vardas73                         Pavarde73                        10   10   5    6    5    4    
Vardas74                         Pavarde74                        7    6    2    9    9    4    
Vardas75                         Pavarde75                        3    9    10   2    9    5    
Vardas76                         Pavarde76                        10   2    9    6    3    3    
Vardas77                         Pavarde77                        1    10   4    3    2    6    
Vardas78                         Pavarde78                        3    9    5    2    10   1    
Vardas79                         Pavarde79                        4    4    7    4    10   2    
Vardas80                         Pavarde80                        1    10   6    10   1    6    
Vardas81                         Pavarde81                        1    7    7    1    6    1    
Vardas82                         Pavarde82                        1    8    10   3    4    6    
Vardas83                         Pavarde83                        6    7    2    8    8    3    
Vardas84                         Pavarde84                        2    5    8    8    2    10   
Vardas85                         Pavarde85                        6    3    3    3    8    2    
Vardas86                         Pavarde86                        7    7    10   8    10   3    
Vardas87                         Pavarde87                        1    3    1    4    8    10   
Vardas88                         Pavarde88                        1    10   4    5    2    9    
Vardas89                         Pavarde89                        4    6    10   2    10   5    
Vardas90                         Pavarde90                        9    1    7    3    10   1    
Vardas91                         Pavarde91                        2    4    5    4    9    10   
Vardas92                         Pavarde92                        10   9    2    8    2    6    
Vardas93                         Pavarde93                        5    3    3    7    8    3    
Vardas94                         Pavarde94                        4    5    10   4    4    10   
Vardas95                         Pavarde95                        2    5    4    3    7    5    
Vardas96                         Pavarde96                        5    4    1    5    9    5    
Vardas97                         Pavarde97                        7    1    6    10   6    1    
Vardas98                         Pavarde98                        10   3    9    7    6    5    
Vardas99                         Pavarde99                        4    9    8    1    8    5    
Vardas100                        Pavarde100                       2    8    2    9    7    7    
Vardas101                        Pavarde101                       5    4    3    9    10   2    
Vardas102                        Pavarde102                       8    2    4    1    7    1    
Vardas103                        Pavarde103                       8    1    8    5    7    2    
Vardas104                        Pavarde104                       10   3    7    8    4    2    
Vardas105                        Pavarde105                       8    5    6    9    4    1    
Vardas106                        Pavarde106                       4    5    2    5    6    2    
Vardas107                        Pavarde107                       1    2    3    5    9    6    
Vardas108                        Pavarde108                       1    9    5    1    5    3    
Vardas109                        Pavarde109                       4    2    1    8    3    9    
Vardas110                        Pavarde110                       8    4    3    9    1    5    
Vardas111                        Pavarde111                       8    10   3    9    10   4    
Vardas112                        Pavarde112                       10   4    1    2    2    5    
Vardas113                        Pavarde113                       4    3    7    6    6    7    
Vardas114                        Pavarde114                       3    8    1    7    1    6    
Vardas115                        Pavarde115                       7    6    7    2    2    4    
Vardas116                        Pavarde116                       2    7    9    2    2    9    
Vardas117                        Pavarde117                       10   5    5    1    10   2    
Vardas118                        Pavarde118                       3    8    4    9    2    1    
Vardas119                        Pavarde119                       2    6    1    8    1    6    
Vardas120                        Pavarde120                       6    10   6    6    5    2    
Vardas121                        Pavarde121                       10   1    7    8    2    7    
Vardas122                        Pavarde122                       8    6    10   9    7    5    
Vardas123                        Pavarde123                       4    4    7    2    2    7    
Vardas124                        Pavarde124                       1    2    9    4    1    5    
Vardas125                        Pavarde125                       7    1    8    4    8    1    
Vardas126                        Pavarde126                       5    1    7    4    2    10   
Vardas127                        Pavarde127                       4    10   2    9    7    7    
Vardas128                        Pavarde128                       3    6    7    9    2    4    
Vardas129                        Pavarde129                       3    3    4    5    4    7    
Vardas130                        Pavarde130                       7    6    8    3    5    8    
Vardas131                        Pavarde131                       1    8    10   7    6    4    
Vardas132                        Pavarde132                       4    4    5    2    8    6    
Vardas133                        Pavarde133                       2    1    4    5    9    6    
Vardas134                        Pavarde134                       1    1    6    8    4    6    
Vardas135                        Pavarde135                       2    4    1    5    6    5    
Vardas136                        Pavarde136                       1    3    6    2    2    2    
Vardas137                        Pavarde137                       3    6    8    3    2    1    
Vardas138                        Pavarde138                       2    6    9    9    9    3    
Vardas139                        Pavarde139                       7    7    7    3    3    3    
Vardas140                        Pavarde140                       7    5    4    6    10   8    
Vardas141                        Pavarde141                       2    4    8    2    1    10   
Vardas142                        Pavarde142                       4    1    7    6    8    7    
Vardas143                        Pavarde143                       10   6    8    4    6    1    
Vardas144                        Pavarde144                       9    6    6    4    9    5    
Vardas145                        Pavarde145                       2    3    5    10   8    6    
Vardas146                        Pavarde146                       8    5    10   9    1    8    
Vardas147                        Pavarde147                       7    3    6    9    6    6    
Vardas148                        Pavarde148                       10   8    10   4    6    7    
Vardas149                        Pavarde149                       2    5    9    4    7    4    
Vardas150                        Pavarde150                       4    10   10   5    4    2    
Vardas151                        Pavarde151                       6    6    10   3    8    3    
Vardas152                        Pavarde152                       10   8    5    6    7    2    
Vardas153                        Pavarde153                       7    7    2    7    2    8    
Vardas154                        Pavarde154                       1    5    8    6    7    9    
Vardas155                        Pavarde155                       1    8    9    3    6    1    
Vardas156                        Pavarde156                       5    3    10   4    4    1    
Vardas157                        Pavarde157                       5    7    6    2    1    10   
Vardas158                        Pavarde158                       4    1    2    2    9    7    
Vardas159                        Pavarde159                       6    3    5    1    9    4    
Vardas160                        Pavarde160                       3    2    7    3    5    3    
Vardas161                        Pavarde161                       7    7    10   3    5    5    
Vardas162                        Pavarde162                       1    8    5    6    4    10   
Vardas163                        Pavarde163                       1    8    7    6    7    1    
Vardas164                        Pavarde164                       10   6    2    2    4    5    
Vardas165                        Pavarde165                       8    5    6    8    1    8    
Vardas166                        Pavarde166                       4    8    1    6    9    4    
Vardas167                        Pavarde167                       2    8    7    6    3    8    
Vardas168                        Pavarde168                       4    4    6    1    2    1    
Vardas169                        Pavarde169                       1    5    8    9    8    8    
Vardas170                        Pavarde170                       1    8    3    7    2    7    
Vardas171                        Pavarde171                       5    4    5    4    10   4    
Vardas172                        Pavarde172                       6    9    5    6    3    10   
Vardas173                        Pavarde173                       6    3    9    1    9    5    
Vardas174                        Pavarde174                       1    6    2    3    6    8    
Vardas175                        Pavarde175                       1    7    6    9    1    3    
Vardas176                        Pavarde176                       8    8    3    8    3    7    
Vardas177                        Pavarde177                       5    10   8    1    10   6    
Vardas178                        Pavarde178                       8    6    8    10   10   6    
Vardas179                        Pavarde179                       7    8    5    9    3    8    
Vardas180                        Pavarde180                       8    6    7    3    8    3    
Vardas181                        Pavarde181                       8    9    1    3    9    6    
Vardas182                        Pavarde182                       7    3    2    3    3    5    
Vardas183                        Pavarde183                       5    3    1    2    7    6    
Vardas184                        Pavarde184                       5    10   1    3    8    5    
Vardas185                        Pavarde185                       2    10   6    7    6    7    
Vardas186                        Pavarde186                       9    7    4    8    10   10   
Vardas187                        Pavarde187                       10   3    5    6    4    7    
Vardas188                        Pavarde188                       6    6    4    9    6    3    
Vardas189                        Pavarde189                       5    7    9    2    10   1    
Vardas190                        Pavarde190                       3    9    9    8    9    4    
Vardas191                        Pavarde191                       7    3    10   7    8    1    
Vardas192                        Pavarde192                       1    2    10   1    10   6    
Vardas193                        Pavarde193                       1    10   7    10   3    7    
Vardas194                        Pavarde194                       5    8    6    1    5    7    
Vardas195                        Pavarde195                       10   3    1    6    5    6    
Vardas196                        Pavarde196                       7    9    2    6    8    5    
Vardas197                        Pavarde197                       2    1    2    1    10   7    
Vardas198                        Pavarde198                       3    1    7    9    1    9    
Vardas199                        Pavarde199                       7    5    4    1    9    10   
Vardas200                        Pavarde200                       6    2    4    5    8    3    
Vardas201                        Pavarde201                       6    6    7    5    4    8    
Vardas202                        Pavarde202                       6    3    2    3    10   5    
Vardas203                        Pavarde203                       7    6    3    4    3    9    
Vardas204                        Pavarde204                       7    9    3    6    8    5    
Vardas205                        Pavarde205                       8    9    9    10   6    8    
Vardas206                        Pavarde206                       6    4    10   1    5    4    
Vardas207                        Pavarde207                       5    9    4    10   10   7    
Vardas208                        Pavarde208                       3    9    8    10   3    8    
Vardas209                        Pavarde209                       7    5    8    3    8    1    
Vardas210                        Pavarde210                       6    7    10   5    1    3    
Vardas211                        Pavarde211                       9    2    6    7    1    7    
Vardas212                        Pavarde212                       6    8    3    4    5    4    
Vardas213                        Pavarde213                       8    6    6    1    4    6    
Vardas214                        Pavarde214                       5    8    6    7    4    8    
Vardas215                        Pavarde215                       6    7    7    8    10   1    
Vardas216                        Pavarde216                       5    2    9    1    8    2    
Vardas217                        Pavarde217                       3    8    1    1    10   8    
Vardas218                        Pavarde218                       5    1    1    1    3    2    
Vardas219                        Pavarde219                       5    10   1    3    10   8    
Vardas220                        Pavarde220                       1    7    10   7    2    9    
Vardas221                        Pavarde221                       7    4    5    3    1    10   
Vardas222                        Pavarde222                       3    1    5    1    1    2    
Vardas223                        Pavarde223                       7    6    4    7    1    3    
Vardas224                        Pavarde224                       1    10   1    2    3    9    
Vardas225                        Pavarde225                       9    1    4    3    4    8    
Vardas226                        Pavarde226                       3    10   5    1    1    10   
Vardas227                        Pavarde227                       6    4    10   5    5    2    
Vardas228                        Pavarde228                       5    3    8    4    7    6    
Vardas229                        Pavarde229                       9    8    6    2    5    1    
Vardas230                        Pavarde230                       5    5    1    7    5    9    
Vardas231                        Pavarde231                       10   5    5    9    8    3    
Vardas232                        Pavarde232                       7    8    3    8    6    1    
Vardas233                        Pavarde233                       8    5    3    1    10   10   
Vardas234                        Pavarde234                       6    1    9    2    8    6    
Vardas235                        Pavarde235                       9    7    1    6    3    10   
Vardas236                        Pavarde236                       5    3    8    8    1    8    
Vardas237                        Pavarde237                       8    5    5    6    4    1    
Vardas238                        Pavarde238                       9    7    5    6    4    9    
Vardas239                        Pavarde239                       8    6    10   8    7    3    
Vardas240                        Pavarde240                       2    1    4    9    8    4    
Vardas241                        Pavarde241                       5    8    4    6    7    8    
Vardas242                        Pavarde242                       4    3    7    4    10   1    
Vardas243                        Pavarde243                       6    5    9    7    7    1    
Vardas244                        Pavarde244                       10   1    8    3    1    8    
Vardas245                        Pavarde245                       5    4    8    6    1    10   
Vardas246                        Pavarde246                       6    7    4    6    4    10   
Vardas247                        Pavarde247                       4    6    2    9    4    10   
Vardas248                        Pavarde248                       9    3    9    3    2    5    
Vardas249                        Pavarde249                       5    1    4    8    3    1    
Vardas250                        Pavarde250                       8    7    8    1    5    3    
Vardas251                        Pavarde251                       8    7    4    2    5    7    
Vardas252                        Pavarde252                       9    2    3    3    2    5    
Vardas253                        Pavarde253                       2    9    1    8    3    9    
Vardas254                        Pavarde254                       5    2    8    5    3    10   
Vardas255                        Pavarde255                       7    1    6    9    6    9    
Vardas256                        Pavarde256                       6    4    4    2    5    8    
Vardas257                        Pavarde257                       1    9    8    9    5    4    
Vardas258                        Pavarde258                       4    9    10   7    1    9    
Vardas259                        Pavarde259                       6    4    2    4    6    4    
Vardas260                        Pavarde260                       2    1    7    8    9    8    
Vardas261                        Pavarde261                       3    9    1    2    8    4    
Vardas262                        Pavarde262                       2    3    1    5    4    4    
Vardas263                        Pavarde263                       2    2    9    3    5    5    
Vardas264                        Pavarde264                       2    8    9    3    7    1    
Vardas265                        Pavarde265                       10   6    4    3    4    4    
Vardas266                        Pavarde266                       9    5    10   3    9    6    
Vardas267                        Pavarde267                       9    4    7    4    3    5    
Vardas268                        Pavarde268                       3    1    10   4    6    1    
Vardas269                        Pavarde269                       2    5    7    3    7    2    
Vardas270                        Pavarde270                       10   5    1    1    9    8    
Vardas271                        Pavarde271                       5    2    8    4    9    8    
Vardas272                        Pavarde272                       9    7    7    9    2    1    
Vardas273                        Pavarde273                       1    6    3    6    1    8    
Vardas274                        Pavarde274                       2    7    8    3    9    6    
Vardas275                        Pavarde275                       4    6    10   5    5    2    
Vardas276                        Pavarde276                       1    3    5    9    7    4    
Vardas277                        Pavarde277                       6    5    9    8    2    5    
Vardas278                        Pavarde278                       3    2    3    10   10   9    
Vardas279                        Pavarde279                       5    6    7    3    1    5    
Vardas280                        Pavarde280                       8    2    9    8    2    10   
Vardas281                        Pavarde281                       2    10   8    5    9    1    
Vardas282                        Pavarde282                       3    10   2    2    8    5    
Vardas283                        Pavarde283                       1    5    4    3    10   2    
Vardas284                        Pavarde284                       10   1    5    6    7    7    
Vardas285                        Pavarde285                       5    2    6    10   4    9    
Vardas286                        Pavarde286                       9    8    6    1    9    7    
Vardas287                        Pavarde287                       8    6    1    8    6    2    
Vardas288                        Pavarde288                       9    2    8    10   1    6    
Vardas289                        Pavarde289                       3    9    2    5    9    2    
Vardas290                        Pavarde290                       5    1    5    1    7    4    
Vardas291                        Pavarde291                       6    9    4    8    6    7    
Vardas292                        Pavarde292                       3    3    6    8    4    8    
Vardas293                        Pavarde293                       8    9    7    10   3    10   
Vardas294                        Pavarde294                       1    3    10   2    5    5    
Vardas295                        Pavarde295                       6    7    9    3    1    2    
Vardas296                        Pavarde296                       3    6    3    9    10   10   
Vardas297                        Pavarde297                       10   9    7    3    2    3    
Vardas298                        Pavarde298                       5    3    7    8    1    6    
Vardas299                        Pavarde299                       5    8    10   3    4    4    
Vardas300                        Pavarde300                       2    4    1    4    3    4    
Vardas301                        Pavarde301                       8    3    3    7    6    7    
Vardas302                        Pavarde302                       1    6    6    3    2    4    
Vardas303                        Pavarde303                       10   9    4    5    10   4    
Vardas304                        Pavarde304                       8    9    4    2    10   9    
Vardas305                        Pavarde305                       6    5    3    6    10   4    
Vardas306                        Pavarde306                       5    7    6    8    10   2    
Vardas307                        Pavarde307                       3    7    1    2    6    4    
Vardas308                        Pavarde308                       3    6    9    8    5    4    
Vardas309                        Pavarde309                       2    7    2    3    2    8    
Vardas310                        Pavarde310                       2    8    3    9    1    5    
Vardas311                        Pavarde311                       7    6    10   2    6    4    
Vardas312                        Pavarde312                       1    7    4    8    3    4    
Vardas313                        Pavarde313                       7    9    9    4    9    2    
Vardas314                        Pavarde314                       4    8    5    4    3    7    
Vardas315                        Pavarde315                       5    1    1    6    5    6    
Vardas316                        Pavarde316                       4    9    7    6    7    5    
Vardas317                        Pavarde317                       1    3    3    3    8    7    
Vardas318                        Pavarde318                       7    5    2    5    10   5    
Vardas319                        Pavarde319                       2    2    4    10   6    9    
Vardas320                        Pavarde320                       3    2    8    8    9    2    
Vardas321                        Pavarde321                       10   3    1    4    6    2    
Vardas322                        Pavarde322                       2    6    2    2    2    2    
Vardas323                        Pavarde323                       8    9    9    1    3    10   
Vardas324                        Pavarde324                       7    1    6    10   8    1    
Vardas325                        Pavarde325                       1    3    5    7    2    4    
Vardas326                        Pavarde326                       10   7    6    8    9    4    
Vardas327                        Pavarde327                       4    5    9    7    1    8    
Vardas328                        Pavarde328                       10   3    2    2    2    5    
Vardas329                        Pavarde329                       2    1    4    8    7    9    
Vardas330                        Pavarde330                       10   7    6    3    7    7    
Vardas331                        Pavarde331                       2    5    1    8    4    5    
Vardas332                        Pavarde332                       7    9    8    8    4    1    
Vardas333                        Pavarde333                       3    5    3    7    9    9    
Vardas334                        Pavarde334                       6    10   1    9    8    10   
Vardas335                        Pavarde335                       6    2    3    9    5    9    
Vardas336                        Pavarde336                       2    2    4    10   8    9    
Vardas337                        Pavarde337                       8    9    5    10   4    7    
Vardas338                        Pavarde338                       2    9    2    2    4    2    
Vardas339                        Pavarde339                       6    2    2    2    10   1    
Vardas340                        Pavarde340                       8    3    5    10   6    6    
Vardas341                        Pavarde341                       8    9    10   7    1    1    
Vardas342                        Pavarde342                       8    9    4    6    7    1    
Vardas343                        Pavarde343                       2    10   7    8    10   4    
Vardas344                        Pavarde344                       4    9    4    3    10   2    
Vardas345                        Pavarde345                       3    8    10   4    5    7    
Vardas346                        Pavarde346                       3    4    10   8    5    1    
Vardas347                        Pavarde347                       1    2    10   5    5    7    
Vardas348                        Pavarde348                       2    1    8    1    1    3    
Vardas349                        Pavarde349                       4    4    5    6    1    10   
Vardas350                        Pavarde350                       7    6    8    2    2    8    
Vardas351                        Pavarde351                       4    10   4    10   7    2    
Vardas352                        Pavarde352                       10   3    2    10   6    4    
Vardas353                        Pavarde353                       3    8    5    9    10   7    
Vardas354                        Pavarde354                       3    9    4    7    5    10   
Vardas355                        Pavarde355                       8    8    2    5    9    2    
Vardas356                        Pavarde356                       10   1    4    9    4    4    
Vardas357                        Pavarde357                       10   2    10   5    5    5    
Vardas358                        Pavarde358                       3    3    10   2    5    9    
Vardas359                        Pavarde359                       7    6    7    2    5    8    
Vardas360                        Pavarde360                       10   1    4    2    2    8    
Vardas361                        Pavarde361                       6    10   1    5    6    2    
Vardas362                        Pavarde362                       8    1    8    4    1    3    
Vardas363                        Pavarde363                       4    2    3    3    5    8    
Vardas364                        Pavarde364                       4    1    10   10   2    10   
Vardas365                        Pavarde365                       1    3    10   10   2    10   
Vardas366                        Pavarde366                       6    7    4    2    1    10   
Vardas367                        Pavarde367                       8    2    10   5    1    2    
Vardas368                        Pavarde368                       1    3    8    6    5    4    
Vardas369                        Pavarde369                       1    4    1    4    7    2    
Vardas370                        Pavarde370                       7    9    1    3    2    7    
Vardas371                        Pavarde371                       9    2    7    10   8    5    
Vardas372                        Pavarde372                       1    9    5    7    2    9    
Vardas373                        Pavarde373                       9    2    8    4    3    2    
Vardas374                        Pavarde374                       5    6    6    8    3    6    
Vardas375                        Pavarde375                       9    8    1    2    3    9    
Vardas376                        Pavarde376                       5    1    8    10   4    5    
Vardas377                        Pavarde377                       7    6    5    2    3    3    
Vardas378                        Pavarde378                       4    1    7    4    1    10   
Vardas379                        Pavarde379                       2    2    7    3    8    7    
Vardas380                        Pavarde380                       10   6    10   10   9    5    
Vardas381                        Pavarde381                       4    6    2    3    8    7    
Vardas382                        Pavarde382                       10   5    5    1    7    2    
Vardas383                        Pavarde383                       8    9    8    3    7    5    
Vardas384                        Pavarde384                       7    6    1    10   6    10   
Vardas385                        Pavarde385                       10   10   2    6    5    8    
Vardas386                        Pavarde386                       7    10   9    6    1    7    
Vardas387                        Pavarde387                       7    5    5    6    5    3    
Vardas388                        Pavarde388                       1    3    7    8    6    6    
Vardas389                        Pavarde389                       5    1    1    3    3    5    
Vardas390                        Pavarde390                       3    1    4    3    1    7    
Vardas391                        Pavarde391                       2    8    2    8    1    7    
Vardas392                        Pavarde392                       1    5    9    10   10   4    
Vardas393                        Pavarde393                       1    8    6    1    7    8    
Vardas394                        Pavarde394                       1    2    6    8    6    1    
Vardas395                        Pavarde395                       2    6    7    6    2    9    
Vardas396                        Pavarde396                       9    7    3    10   6    6    
Vardas397                        Pavarde397                       3    4    10   8    3    4    
Vardas398                        Pavarde398                       10   5    9    4    3    8    
Vardas399                        Pavarde399                       10   10   7    6    2    3    
Vardas400                        Pavarde400                       5    5    5    10   7    4    
Vardas401                        Pavarde401                       9    3    10   7    1    1    
Vardas402                        Pavarde402                       10   4    1    5    7    5    
Vardas403                        Pavarde403                       3    6    1    7    1    1    
Vardas404                        Pavarde404                       2    7    4    10   3    6    
Vardas405                        Pavarde405                       3    2    8    6    1    9    
Vardas406                        Pavarde406                       9    7    7    6    7    3    
Vardas407                        Pavarde407                       2    3    3    8    10   10   
Vardas408                        Pavarde408                       5    10   3    10   7    10   
Vardas409                        Pavarde409                       4    5    7    1    2    8    
Vardas410                        Pavarde410                       9    5    7    2    7    3    
Vardas411                        Pavarde411                       4    10   2    8    2    10   
Vardas412                        Pavarde412                       4    3    10   10   7    10   
Vardas413                        Pavarde413                       2    8    1    2    10   6    
Vardas414                        Pavarde414                       5    7    10   6    8    5    
Vardas415                        Pavarde415                       4    10   10   6    5    3    
Vardas416                        Pavarde416                       5    10   7    6    10   4    
Vardas417                        Pavarde417                       4    3    2    2    4    4    
Vardas418                        Pavarde418                       3    8    6    8    1    2    
Vardas419                        Pavarde419                       7    2    4    9    3    8    
Vardas420                        Pavarde420                       6    8    5    1    9    3    
Vardas421                        Pavarde421                       9    4    8    7    10   1    
Vardas422                        Pavarde422                       5    10   5    1    1    4    
Vardas423                        Pavarde423                       4    7    8    3    6    7    
Vardas424                        Pavarde424                       9    3    3    10   1    3    
Vardas425                        Pavarde425                       6    1    4    8    1    7    
Vardas426                        Pavarde426                       9    9    4    5    4    2    
Vardas427                        Pavarde427                       2    9    10   5    1    1    
Vardas428                        Pavarde428                       5    6    1    9    2    3    
Vardas429                        Pavarde429                       2    5    2    2    9    6    
Vardas430                        Pavarde430                       2    6    10   7    1    7    
Vardas431                        Pavarde431                       7    7    4    7    9    8    
Vardas432                        Pavarde432                       4    4    2    9    4    7    
Vardas433                        Pavarde433                       6    10   10   10   4    5    
Vardas434                        Pavarde434                       3    10   5    4    3    8    
Vardas435                        Pavarde435                       4    1    7    10   8    7    
Vardas436                        Pavarde436                       4    2    9    5    4    10   
Vardas437                        Pavarde437                       3    2    10   3    10   5    
Vardas438                        Pavarde438                       4    2    2    7    7    1    
Vardas439                        Pavarde439                       1    1    2    4    8    5    
Vardas440                        Pavarde440                       8    2    1    7    7    4    
Vardas441                        Pavarde441                       4    7    6    1    5    5    
Vardas442                        Pavarde442                       4    8    3    10   1    8    
Vardas443                        Pavarde443                       7    7    7    4    5    10   
Vardas444                        Pavarde444                       3    8    3    9    9    7    
Vardas445                        Pavarde445                       1    7    6    3    10   7    
Vardas446                        Pavarde446                       10   10   9    4    7    4    
Vardas447                        Pavarde447                       6    5    1    3    10   1    
Vardas448                        Pavarde448                       9    5    10   8    8    1    
Vardas449                        Pavarde449                       10   7    3    6    9    7    
Vardas450                        Pavarde450                       7    3    1    7    5    6    
Vardas451                        Pavarde451                       10   5    5    9    3    1    
Vardas452                        Pavarde452                       2    5    3    6    5    2    
Vardas453                        Pavarde453                       5    10   7    1    3    4    
Vardas454                        Pavarde454                       2    3    9    6    5    2    
Vardas455                        Pavarde455                       1    1    6    9    4    7    
Vardas456                        Pavarde456                       3    3    5    9    5    7    
Vardas457                        Pavarde457                       5    6    10   4    2    9    
Vardas458                        Pavarde458                       8    5    4    3    2    5    
Vardas459                        Pavarde459                       5    9    7    6    9    4    
Vardas460                        Pavarde460                       1    5    7    4    10   1    
Vardas461                        Pavarde461                       1    6    8    3    10   3    
Vardas462                        Pavarde462                       9    2    1    4    9    8    
Vardas463                        Pavarde463                       3    9    10   3    10   5    
